iter,loss,tuned_hyperparams,proba_thr,run_time
1,0.46521539094849507,{'C': 0.5375330892969121},0.65,3.08
2,0.465288035450517,{'C': 0.07980851759854377},0.32,3.05
3,0.46523960578250234,{'C': 0.06948507321698111},0.67,3.03
4,0.465288035450517,{'C': 0.7273159635865561},0.32,3.01
5,0.4654091096205536,{'C': 0.03625839315926123},0.88,3.07
6,0.4652638206165097,{'C': 0.22528294319252898},0.45,3.04
7,0.46521539094849507,{'C': 0.9764560712207749},0.67,2.99
8,0.46364142673801967,{'C': 0.015152005913711991},0.24,3.0
9,0.465288035450517,{'C': 0.9651762029956198},0.32,3.0
10,0.4652638206165097,{'C': 0.01734075243246064},0.55,3.03
11,0.4596944087948277,{'C': 0.10319261702284721},0.2,3.05
12,0.46523960578250234,{'C': 0.01293609995528969},0.52,3.02
13,0.4450686490544107,{'C': 0.010654336133652687},0.16,2.99
14,0.4652638206165097,{'C': 0.034807363034273064},0.35000000000000003,3.15
15,0.4654091096205536,{'C': 0.15891081837571014},0.99,3.08
16,0.465288035450517,{'C': 0.27413654050753283},0.31,3.07
17,0.430999830496162,{'C': 0.07000487992740265},0.14,3.08
18,0.5336465118531613,{'C': 0.06177270294280138},0.01,3.06
19,0.46523960578250234,{'C': 0.3107106315015327},0.43,3.02
20,0.5208852943313074,{'C': 0.4285378311926333},0.03,3.02
21,0.42116860788919297,{'C': 0.006876560894390564},0.13,3.08
22,0.40472673559822747,{'C': 0.00783745272800552},0.09,3.04
23,0.4033464900598106,{'C': 0.006895913361300204},0.09,3.08
24,0.4323316463665642,{'C': 0.007218720441942566},0.06,3.06
25,0.4024505412015401,{'C': 0.029230619446973683},0.09,3.07
26,0.5345908903794465,{'C': 0.026179649274696924},0.0,3.04
27,0.4635929970700051,{'C': 0.02175752760975016},0.24,3.05
28,0.46521539094849507,{'C': 0.0482885374482874},0.75,3.04
29,0.46521539094849507,{'C': 0.010590491914402238},0.59,3.01
